passage,lineage,rep,BP,RI,sense,DVG_type,length_dvg,read_counts_virema,pBP_virema,pRI_virema,rpht_virema,read_counts_ditector,pBP_ditector,pRI_ditector,rpht_ditector
One,C,One,10054,2193,Pos,Insertion_forward,17999,0,0,0,0,1,0.008928571,0,8.028259473
One,C,One,1196,4710,Pos,Deletion_forward,6624,0,0,0,0,1,0.009009009,0,8.028259473
One,C,One,1326,6574,Pos,Deletion_forward,4890,0,0,0,0,1,0.005235602,0,8.028259473
One,C,One,1327,8722,Pos,Deletion_forward,2743,0,0,0,0,1,0.005263158,0,8.028259473
One,C,One,1613,4124,Pos,Deletion_forward,7627,0,0,0,0,1,0.007633588,0,8.028259473
One,C,One,1620,2,Pos,Insertion_forward,11756,0,0,0,0,1,0.009803922,0,8.028259473
One,C,One,1692,8484,Pos,Deletion_forward,3346,0,0,0,0,1,0.007936508,0,8.028259473
One,C,One,1703,9817,Pos,Deletion_forward,2024,0,0,0,0,1,0.008333333,0,8.028259473
One,C,One,1908,1827,Pos,Insertion_forward,10219,0,0,0,0,1,0.006329114,0,8.028259473
One,C,One,1973,9093,Pos,Deletion_forward,3018,0,0,0,0,1,0.006578947,0,8.028259473
One,C,One,2140,2195,Pos,Deletion_forward,10083,0,0,0,0,1,0.006849315,0,8.028259473
One,C,One,2173,9498,Pos,Deletion_forward,2813,0,0,0,0,1,0.006134969,0,8.028259473
One,C,One,2304,7127,Pos,Deletion_forward,5315,0,0,0,0,1,0.005524862,0,8.028259473
One,C,One,234,3754,Pos,Deletion_forward,6618,0,0,0,0,1,0.00990099,0,8.028259473
One,C,One,2382,8924,Pos,Deletion_forward,3596,0,0,0,0,1,0.004854369,0,8.028259473
One,C,One,2543,6444,Pos,Deletion_forward,6237,0,0,0,0,1,0.007246377,0,8.028259473
One,C,One,2592,4271,Pos,Deletion_forward,8459,0,0,0,0,1,0.006535948,0,8.028259473
One,C,One,2715,9589,Pos,Deletion_forward,3264,0,0,0,0,1,0.01369863,0,8.028259473
One,C,One,2742,4754,Pos,Deletion_forward,8126,0,0,0,0,1,0.009433962,0,8.028259473
One,C,One,2811,6406,Pos,Deletion_forward,6543,0,0,0,0,1,0.007092199,0,8.028259473
One,C,One,2867,4668,Pos,Deletion_forward,8337,0,0,0,0,1,0.007936508,0,8.028259473
One,C,One,2977,3038,Pos,Deletion_forward,10077,0,0,0,0,1,0.005263158,0,8.028259473
One,C,One,2995,4777,Pos,Deletion_forward,8356,0,0,0,0,1,0.00462963,0,8.028259473
