passage,lineage,rep,BP,RI,sense,DVG_type,length_dvg,read_counts_virema,pBP_virema,pRI_virema,rpht_virema,read_counts_ditector,pBP_ditector,pRI_ditector,rpht_ditector
One,C,One,10069,7230,Pos,Insertion_forward,12976,0,0,0,0,1,0.011764706,0,13.43363783
One,C,One,4305,625,Pos,Insertion_forward,13817,0,0,0,0,1,0.009259259,0,13.43363783
One,C,One,4523,1747,Pos,Insertion_forward,12913,0,0,0,0,1,0.071428571,0,13.43363783
One,C,One,5906,5960,Pos,Deletion_forward,10083,0,0,0,0,1,0.004716981,0,13.43363783
One,C,One,7230,362,Pos,Insertion_forward,17005,0,0,0,0,1,0.071428571,0,13.43363783
One,C,One,8468,833,Pos,Insertion_forward,17772,0,0,0,0,1,0.014925373,0,13.43363783
One,C,One,9272,523,Pos,Insertion_forward,18886,0,0,0,0,1,0.012195122,0,13.43363783
One,C,One,954,10039,Pos,Deletion_forward,1052,0,0,0,0,2,0.019047619,0,26.86727566
One,C,One,5200,5198,Neg,Deletion_reverse,10135,1,0.005847953,0.00591716,22.44668911,0,0,0.004504505,0
One,C,One,7232,10071,Neg,Insertion_reverse,12976,1,0.015384615,0.0125,22.44668911,0,0,0.012658228,0
One,E,One,10070,3640,Pos,Insertion_forward,16567,0,0,0,0,1,0.000726216,0,0.675739597
One,E,One,10084,102,Pos,Insertion_forward,20119,0,0,0,0,1,0.002358491,0,0.675739597
One,E,One,1832,1914,Pos,Deletion_forward,10055,0,0,0,0,1,0.000431034,0,0.675739597
One,E,One,1873,1762,Pos,Insertion_forward,10248,0,0,0,0,1,0.000540833,0,0.675739597
One,E,One,2569,2465,Pos,Insertion_forward,10241,0,0,0,0,1,0.002293578,0,0.675739597
One,E,One,2610,2613,Pos,Deletion_forward,10134,0,0,0,0,1,0.00243309,0,0.675739597
One,E,One,266,5090,Pos,Deletion_forward,5313,0,0,0,0,2,0.001846722,0,1.351479194
One,E,One,3015,7155,Pos,Deletion_forward,5997,0,0,0,0,1,0.000251636,0,0.675739597
One,E,One,3179,3026,Pos,Insertion_forward,10290,0,0,0,0,1,0.002057613,0,0.675739597
One,E,One,330,327,Pos,Insertion_forward,10140,0,0,0,0,1,0.001027749,0,0.675739597
One,E,One,335,331,Pos,Insertion_forward,10141,0,0,0,0,2,0.00192123,0,1.351479194
One,E,One,335,332,Pos,Insertion_forward,10140,0,0,0,0,1,0.000960615,0,0.675739597
One,E,One,338,335,Pos,Insertion_forward,10140,0,0,0,0,1,0.000954198,0,0.675739597
One,E,One,339,335,Pos,Insertion_forward,10141,0,0,0,0,1,0.000947867,0,0.675739597
One,E,One,3519,5714,Pos,Deletion_forward,7942,0,0,0,0,1,0.00212766,0,0.675739597
One,E,One,3614,3617,Pos,Deletion_forward,10134,0,0,0,0,1,0.003067485,0,0.675739597
One,E,One,3822,3870,Pos,Deletion_forward,10089,0,0,0,0,1,0.002336449,0,0.675739597
One,E,One,3978,4777,Pos,Deletion_forward,9338,0,0,0,0,1,0.000543478,0,0.675739597
