lineage,sense,BP,RI,DVG_type,read_counts_virema,read_counts_ditector,pBP_virema,pRI_virema,pBP_ditector,pRI_ditector,rpht_virema,rpht_ditector,length_dvg,p(real),strain,rep,program
E,pos,5654,5710,Deletion_forward,0,1,0,0,0.000282725,0,0,0.40226555963184657,10082,0.5061963980268692,B,1,ditector
E,pos,8515,8938,Deletion_forward,0,1,0,0,0.000290867,0,0,0.40226555963184657,9715,0.5029645455395452,B,1,ditector
J,pos,7769,3031,Insertion_forward,0,1,0,0,0.000658328,0,0,0.5672471495830733,14876,0.5130361249253882,B,1,ditector
L,pos,7594,5849,Insertion_forward,0,1,0,0,0.000164015,0,0,0.3231007331155634,11883,0.5043408029454505,B,1,ditector
L,pos,8100,5964,Insertion_forward,0,1,0,0,0.000164582,0,0,0.3231007331155634,12274,0.5130046133928432,B,1,ditector
L,pos,9148,8696,Insertion_forward,0,1,0,0,0.000273299,0,0,0.3231007331155634,10590,0.5127901828084994,B,1,ditector
M,pos,6170,6093,Insertion_forward,0,1,0,0,0.000199124,0,0,0.3998416627015701,10215,0.525277289,B,1,ditector
N,pos,2236,2071,Insertion_forward,0,1,0,0,0.000459982,0,0,0.6022971613734784,10302,0.5231623452668545,A,1,ditector
N,pos,9444,4662,Insertion_forward,0,1,0,0,0.001386963,0,0,0.6022971613734784,14919,0.5495850479214864,A,1,ditector
N,pos,3312,4888,Deletion_forward,0,1,0,0,0.000323939,0,0,0.428397622,8562,0.525487415,B,1,ditector
N,pos,3890,4597,Deletion_forward,0,1,0,0,0.00043573,0,0,0.428397622,9431,0.500547379,B,1,ditector
N,pos,5370,2308,Insertion_forward,0,1,0,0,0.000239923,0,0,0.428397622,13200,0.50434302,B,1,ditector
N,pos,5496,143,Insertion_forward,0,1,0,0,0.000284738,0,0,0.428397622,15491,0.500547379,B,1,ditector
N,pos,5608,5839,Deletion_forward,0,1,0,0,0.000252143,0,0,0.428397622,9907,0.513004613,B,1,ditector
N,pos,728,5839,Deletion_forward,0,1,0,0,0.000266312,0,0,0.428397622,5027,0.513036125,B,1,ditector
N,pos,9224,4971,Insertion_forward,0,1,0,0,0.000286123,0,0,0.428397622,14391,0.502919136,B,1,ditector
P,pos,1381,693,Insertion_forward,0,1,0,0,0.000401284,0,0,0.4671172791352725,10826,0.5959421120159915,B,1,ditector
P,pos,2291,8069,Deletion_forward,0,1,0,0,0.000313775,0,0,0.4671172791352725,4360,0.5038547975356604,B,1,ditector
P,pos,2780,2152,Insertion_forward,0,1,0,0,0.000480538,0,0,0.4671172791352725,10766,0.5043430198584998,B,1,ditector
